"cle_unique";"colonne";"valeur"
E111193_P1_34;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E111193_P1_34;source_du_fichier;GLASSDOOR
E111193_P1_34;type_du_fichier;AVIS-SOC
E111193_P1_34;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13596-AVIS-SOC-GLASSDOOR-E111193_P1.html
E111193_P1_34;taille_du_fichier;54
E111193_P2_35;date_heure_recuperation;2023-12-13
E111193_P2_35;nom_fichier;2023-12-13-10-13596-AVIS-SOC-GLASSDOOR-E111193_P2.html
E111193_P2_35;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E111193_P2_35;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E111193_P2_35;source_du_fichier;GLASSDOOR
E111193_P2_35;type_du_fichier;AVIS-SOC
E111193_P2_35;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13596-AVIS-SOC-GLASSDOOR-E111193_P2.html
E111193_P2_35;taille_du_fichier;54
E1363502_P1_36;date_heure_recuperation;2023-12-13
E1363502_P1_36;nom_fichier;2023-12-13-10-13598-AVIS-SOC-GLASSDOOR-E1363502_P1.html
E1363502_P1_36;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1363502_P1_36;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1363502_P1_36;source_du_fichier;GLASSDOOR
E1363502_P1_36;type_du_fichier;AVIS-SOC
E1363502_P1_36;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13598-AVIS-SOC-GLASSDOOR-E1363502_P1.html
E1363502_P1_36;taille_du_fichier;55
E541990_P1_37;date_heure_recuperation;2023-12-13
E541990_P1_37;nom_fichier;2023-12-13-10-13600-AVIS-SOC-GLASSDOOR-E541990_P1.html
E541990_P1_37;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
